Origin_airport,Destination_airport,Numtimes,Passengers,Seats,Flights,Distance,Origin_population,Destination_population
MHK,AMW,1,21,30,1,254,122049,86219
SEA,RDM,25,61274,91869,1267,228,6713274,157730
GEG,RDM,1,13,30,1,291,462408,157730
AZA,RDM,4,2538,3270,22,911,4287323,157730
BIL,RDM,1,100,120,1,626,152320,157730
MFR,RDM,2,64,146,2,156,200298,157730
EUG,RDM,13,5093,14201,181,103,348425,157730
DLH,RDM,1,100,120,1,1408,275188,157730
RNO,RDM,1,70,76,1,336,416657,157730
SLE,RDM,1,87,150,1,102,390561,157730
SLC,RDM,12,27489,36116,722,526,1111600,157730
SFO,RDM,14,22372,32370,1077,462,8520472,157730
OKC,RDM,1,100,120,1,1387,1207519,157730
LMT,RDM,1,16,30,1,147,66543,157730
SAN,RDM,1,140,150,1,823,3019274,157730
LAS,RDM,12,13510,16350,109,647,1879093,157730
FSM,RDM,2,200,240,2,1544,290977,157730
PDX,RDM,46,83517,127236,3222,116,2203745,157730
STS,RDM,1,73,74,1,406,466424,157730
ABQ,RDM,1,99,120,1,1000,846582,157730
LAX,RDM,13,23486,38780,515,726,25536790,157730
LAS,EKO,3,202,378,3,329,1879093,48783
OAK,EKO,2,161,200,4,405,4260236,48783
RNO,EKO,1,45,150,1,230,416657,48783
SLC,EKO,12,24590,46920,1564,200,1111600,48783
PHL,ERI,16,33384,47047,958,300,11880992,279647
ACY,ERI,5,612,726,6,345,270609,279647
CLE,ERI,14,27869,43760,1182,98,2094051,279647
JFK,ERI,1,45,50,1,347,37937002,279647
ABE,ERI,1,33,37,1,265,811669,279647
AVP,ERI,1,46,74,1,236,549321,279647
PIT,ERI,8,594,1342,14,109,2355391,279647
PVD,ERI,1,50,50,1,452,1599312,279647
GSO,ERI,1,46,50,1,413,707185,279647
PGV,ERI,1,56,199,1,469,176589,279647
LAS,ERI,1,40,68,1,1912,1879093,279647
BUF,ERI,1,38,50,1,95,1124055,279647
DTW,ERI,24,58085,79818,1717,163,8847562,279647
GPT,GYY,1,60,120,1,779,236155,9515636
BMG,GYY,1,47,88,1,176,184165,9515636
RNO,GYY,3,393,430,3,1699,416657,9515636
GSO,GYY,1,54,147,1,554,707185,9515636
SNA,GYY,1,135,182,1,1747,12768395,9515636
MDW,GYY,1,6,199,1,21,19031272,9515636
ACY,GYY,4,428,720,6,691,270609,9515636
IND,GYY,2,113,342,2,143,1720796,9515636
GBD,HYS,7,590,2907,153,41,27505,27477
DDC,HYS,2,23,38,2,84,32710,27477
MCI,HYS,12,2441,8607,453,247,2046083,27477
GCK,HYS,2,22,38,2,101,40925,27477
OGG,ITO,25,49681,76250,1205,121,144378,176399
OAK,ITO,6,7898,10373,63,2329,4260236,176399
HNL,ITO,34,602940,791108,8163,216,902745,176399
SUS,GUS,1,14,19,1,276,2818688,36214
PDX,RNO,49,103608,184462,1514,444,2203745,416657
SJC,RNO,26,118019,186957,1365,188,1810646,416657
RFD,RNO,2,258,280,2,1609,353381,416657
JFK,RNO,1,86,150,1,2411,37937002,416657
GRB,RNO,1,130,130,1,1654,302322,416657
CLE,RNO,2,249,280,2,1987,2094051,416657
CMI,RNO,1,94,150,1,1668,223998,416657
ANC,RNO,1,91,186,1,1973,365790,416657
BWI,RNO,1,118,120,1,2286,2677712,416657
HNL,RNO,3,485,747,3,2572,902745,416657
SEA,RNO,67,155671,228031,2340,564,6713274,416657
PHX,RNO,75,222973,350271,2746,601,4287323,416657
ICT,RNO,4,517,560,4,1213,603205,416657
PUW,RNO,1,113,136,1,518,42027,416657
GEG,RNO,14,6828,11564,221,572,462408,416657
AZA,RNO,4,487,540,4,621,4287323,416657
OAK,RNO,31,95229,180408,1326,180,4260236,416657
IAH,RNO,40,49654,63165,431,1530,5726705,416657
MEM,RNO,3,276,410,3,1662,1298529,416657
MOD,RNO,1,13,30,1,144,507450,416657
LBB,RNO,3,408,417,3,1074,271582,416657
OGG,RNO,1,124,182,1,2515,144378,416657
JAN,RNO,2,227,280,2,1729,537194,416657
MSN,RNO,1,91,130,1,1594,562065,416657
LNK,RNO,1,124,130,1,1218,294665,416657
GRK,RNO,2,206,260,2,1365,379569,416657
MOB,RNO,1,115,150,1,1875,409132,416657
MLU,RNO,2,253,286,2,1619,172981,416657
DFW,RNO,29,134385,166006,1069,1345,12602170,416657
DAL,RNO,2,256,280,2,1356,12602170,416657
FAT,RNO,5,626,636,5,188,903133,416657
DAY,RNO,1,70,130,1,1882,837036,416657
BOS,RNO,1,188,188,1,2524,9089410,416657
